country_name,country_code,first_year,last_year,n_years,missing_years_1990_2023,avg_life_exp
Cameroon,CMR,1990,2023,34,0,56.68135294117647
Canada,CAN,1990,2023,34,0,80.13374462029412
Caribbean small states,CSS,1990,2023,34,0,69.90211704411765
Cayman Islands,CYM,1990,2023,34,0,75.90935294117648
Central African Republic,CAF,1990,2023,34,0,46.065999999999995
Central Europe and the Baltics,CEB,1990,2023,34,0,74.1065936767647
Chad,TCD,1990,2023,34,0,49.665323529411765
Channel Islands,CHI,1990,2023,34,0,79.71176470588235
Chile,CHL,1990,2023,34,0,77.9615294117647
China,CHN,1990,2023,34,0,74.11591176470587
Colombia,COL,1990,2023,34,0,73.12620588235295
Comoros,COM,1990,2023,34,0,61.411941176470584
"Congo, Dem. Rep.",COD,1990,2023,34,0,54.74458823529412
"Congo, Rep.",COG,1990,2023,34,0,59.501029411764705
Costa Rica,CRI,1990,2023,34,0,78.4680294117647
Cote d'Ivoire,CIV,1990,2023,34,0,54.938382352941176
Croatia,HRV,1990,2023,34,0,75.19550932499999
Cuba,CUB,1990,2023,34,0,76.46644117647058
Curacao,CUW,1990,2023,34,0,74.51858823529412
Cyprus,CYP,1990,2023,34,0,79.258
Czechia,CZE,1990,2023,34,0,76.17629842176471
Denmark,DNK,1990,2023,34,0,78.29572453352941
Djibouti,DJI,1990,2023,34,0,59.69511764705882
Dominica,DMA,1990,2023,34,0,71.19388235294117
Dominican Republic,DOM,1990,2023,34,0,71.247
Early-demographic dividend,EAR,1990,2023,34,0,66.34820135264707
East Asia & Pacific,EAS,1990,2023,34,0,73.29155391294117
East Asia & Pacific (IDA & IBRD countries),TEA,1990,2023,34,0,72.41829982
East Asia & Pacific (excluding high income),EAP,1990,2023,34,0,72.37247725794117
Ecuador,ECU,1990,2023,34,0,73.6364411764706
"Egypt, Arab Rep.",EGY,1990,2023,34,0,68.0340294117647
El Salvador,SLV,1990,2023,34,0,68.65232352941177
Equatorial Guinea,GNQ,1990,2023,34,0,56.80644117647059
Eritrea,ERI,1990,2023,34,0,60.299588235294124
Estonia,EST,1990,2023,34,0,73.3687589667647
Eswatini,SWZ,1990,2023,34,0,52.797264705882355
Ethiopia,ETH,1990,2023,34,0,56.459941176470586
Euro area,EMU,1990,2023,34,0,79.54722464735293
Europe & Central Asia,ECS,1990,2023,34,0,74.91407403999999
Europe & Central Asia (IDA & IBRD countries),TEC,1990,2023,34,0,70.53689116
Europe & Central Asia (excluding high income),ECA,1990,2023,34,0,70.82684148264705
European Union,EUU,1990,2023,34,0,78.45956588735294
Faroe Islands,FRO,1990,2023,34,0,79.77660394588236
Fiji,FJI,1990,2023,34,0,66.24626470588235
Finland,FIN,1990,2023,34,0,79.03383787705882
Fragile and conflict affected situations,FCS,1990,2023,34,0,57.885800876764705
France,FRA,1990,2023,34,0,80.33701578264706
French Polynesia,PYF,1990,2023,34,0,79.76579411764705
Gabon,GAB,1990,2023,34,0,63.90529411764707
"Gambia, The",GMB,1990,2023,34,0,59.270911764705886
Georgia,GEO,1990,2023,34,0,71.26370588235294
Germany,DEU,1990,2023,34,0,78.92025896735294
Ghana,GHA,1990,2023,34,0,60.27911764705882
Gibraltar,GIB,1990,2023,34,0,80.85414705882353
Greece,GRC,1990,2023,34,0,79.47711621264705
Greenland,GRL,1990,2023,34,0,68.11020803411765
Grenada,GRD,1990,2023,34,0,73.63217647058823
Guam,GUM,1990,2023,34,0,75.60935294117647
Guatemala,GTM,1990,2023,34,0,68.02020588235294
Guinea,GIN,1990,2023,34,0,54.62714705882353
Guinea-Bissau,GNB,1990,2023,34,0,54.66226470588236
Guyana,GUY,1990,2023,34,0,65.41017647058823
