Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.592,64.162,64.766,65.257,65.741,65.969,65.33,66.897,67.315,67.603
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.57079653,80.9529786,80.93015117,81.03175101,81.31945249,80.44147547,80.30719644,80.71332604,81.42493295,81.56084661
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.74499311,60.98618367,61.22968269,61.78250831,62.13795455,62.06636829,61.60868104,62.70227157,63.34994478,63.60484127
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732,81.88536585,81.18780488,81.58536585,82.33658537
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316,67.463
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976,82.32439024,82.12926829,82.83170732,82.9804878
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.79959756,81.9621122,82.10629268,82.24860244,82.39128293,82.53419268,82.67632195,82.81622927,82.95211951,83.08324634
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.306,65.576,65.761,65.943,66.196,65.878,66.152,66.961,67.198,67.357
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.336,66.583,66.816,67.043,67.337,67.073,67.072,67.713,68.337,68.511
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.95609756,81.15609756,81.25609756,81.25609756,81.36912195,80.3317561,80.64731707,81.01121951,81.23809756,81.38685366
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.241,73.136,73.435,73.985,74.165,73.509,71.635,74.141,74.496,74.657
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.175,63.522,63.829,64.138,64.455,64.309,64.286,65.246,65.498,65.695
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.668,82.741,82.858,83.028,83.183,83.07,80.274,83.517,83.553,83.63
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.899,58.49,58.715,59.043,59.379,59.35,59.373,60.432,60.74,60.904
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.971,63.386,63.708,64.034,64.427,64.418,63.847,64.859,65.86,66.057
