country_code,country,year,u5_mort,income_group,adol_fert,life_exp,u5_mort_lag5
KIR,Kiribati,2020,58.3,Lower middle income,47.872,65.205,58.6
KIR,Kiribati,2021,57.2,Lower middle income,46.388,64.148,59.1
KIR,Kiribati,2022,55.9,Lower middle income,45.011,66.269,59.6
KIR,Kiribati,2023,54.5,Lower middle income,44.026,66.473,59.6
KNA,St. Kitts and Nevis,2020,17.8,High income,38.711,71.181,19.4
KNA,St. Kitts and Nevis,2021,17.3,High income,36.993,69.271,19.3
KNA,St. Kitts and Nevis,2022,16.8,High income,35.666,70.313,19.0
KNA,St. Kitts and Nevis,2023,16.4,High income,35.183,72.145,18.6
KOR,"Korea, Rep.",2020,3.1,High income,0.799,83.42682927,3.5
KOR,"Korea, Rep.",2021,3.0,High income,0.539,83.52682927,3.4
KOR,"Korea, Rep.",2022,2.9,High income,0.651,82.6804878,3.3
KOR,"Korea, Rep.",2023,2.9,High income,0.537,83.42926829,3.2
KWT,Kuwait,2020,8.8,High income,2.994,78.76097561,9.1
KWT,Kuwait,2021,8.7,High income,2.132,78.73658537,9.0
KWT,Kuwait,2022,8.6,High income,1.671,80.58780488,8.9
KWT,Kuwait,2023,8.4,High income,1.576,83.18780488,8.9
LAO,Lao PDR,2020,34.8,Lower middle income,83.548,68.339,44.4
LAO,Lao PDR,2021,33.2,Lower middle income,82.821,67.807,42.2
LAO,Lao PDR,2022,31.8,Lower middle income,82.431,68.715,40.2
LAO,Lao PDR,2023,30.5,Lower middle income,81.654,68.964,38.3
LBN,Lebanon,2020,15.1,Lower middle income,21.76,76.299,12.9
LBN,Lebanon,2021,15.7,Lower middle income,21.366,73.65,13.2
LBN,Lebanon,2022,16.3,Lower middle income,21.109,78.003,13.5
LBN,Lebanon,2023,17.0,Lower middle income,20.831,77.817,14.0
LBR,Liberia,2020,88.3,Low income,130.522,61.267,93.2
LBR,Liberia,2021,88.0,Low income,129.044,61.166,91.5
LBR,Liberia,2022,87.8,Low income,127.332,61.934,90.3
LBR,Liberia,2023,87.3,Low income,126.012,62.163,89.4
LBY,Libya,2020,11.2,Upper middle income,6.445,72.388,13.3
LBY,Libya,2021,10.8,Upper middle income,6.274,72.062,12.8
LBY,Libya,2022,10.4,Upper middle income,6.079,74.462,12.4
LBY,Libya,2023,31.7,Upper middle income,5.923,69.339,11.9
LCA,St. Lucia,2020,18.1,Upper middle income,29.294,72.308,18.7
LCA,St. Lucia,2021,17.9,Upper middle income,28.84,69.119,18.6
